"This list is a compiled directory of organisations accepting donations for flood relief. It has not been independently vetted, and inclusion does not imply endorsement. Please double-check and verify organisations before making a donation. See links for details",,,,,,,,
Related Organization,Org Type,Donation Details,Monetary Donations,Dry Rations/Items,Volunteer,Overseas Donations,Item Drop Off,Org Link
Sarvodaya,NGO,https://www.instagram.com/p/DRl6Tf3AQs7/,Yes,Yes,Yes,,Moratuwa and other Sarvodaya centers,https://www.sarvodaya.org/
Sri Lanka Red Cross,NGO,https://www.instagram.com/p/DRlzm_5koe8,,Yes,Yes,,Colombo 7 and other branches,https://www.redcross.lk/
Alliance Development Trust,NGO,https://www.instagram.com/p/DRqyqr0goVd/,,Yes,,,Dehiwala,https://www.adtlanka.org/about-us
Sri Lanka Government,Government,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/about/press_20251129_pmd_disaster_relief_fund_e.pdf,Yes,,,Yes,,
National Youth Services Council,Government,https://www.facebook.com/reel/1567959847729770,,Yes,Yes,,Maharagama + other NYSC,
Colombo Municipal Council,Government,https://www.instagram.com/p/DRoUAmgjKd5/?img_index=1,,Yes,,,,
Kelaniya AG office,Government,https://www.instagram.com/p/DRplf-bjEJE/,,Yes,,,Kelaniya,
Ceylon Chamber of Commerce,Private Sector / Business Association,https://www.instagram.com/p/DRmQqG2EW2S/,Yes,Yes,,,Colombo 2,https://www.chamber.lk/
National chamber of exporters ,Private Sector / Business Association,https://www.facebook.com/photo?fbid=1453711200094691&set=a.716784627120689,Yes,Yes,,,Colombo 8,https://nce.lk/?fbclid=IwY2xjawOYjlxleHRuA2FlbQIxMABicmlkETEzcXJTVzJoVTRyNEhVbWY3c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHsmT1MkR1_reLHSIJSSNYgYFPwL_3pppVOEsTQD1GUARRmXTG8rpeNGa8qNe_aem_OJCncpgFYwJNtgFw22BTJg
Manusath Derana,Media company,https://www.facebook.com/manusathderana/,Yes,Yes,,,Colombo 10,
Sirasa Sahana Yathra,Media company,https://www.newsfirst.lk/2025/11/29/sirasashakthi-sahana-yathra-begins-distribution-of-public-donations,,Yes,Yes,,Colombo and suburbs,
Swarna Shree Sahana (Swarnawahini),Media company,https://www.instagram.com/p/DRmy2m7AbwZ/,,Yes,,,Colombo 09,
Siyatha TV,Media company,https://www.facebook.com/reel/1974415143492749,Yes,Yes,,,,
Sri Lanka Rupavahini Corporation,Media company,https://www.facebook.com/reel/1831124534174534,,Yes,,,Colombo 7,
Hari TV,Media company,https://www.facebook.com/photo?fbid=1410231047126454&set=a.390681385748097,,Yes,,,Nugegoda,
Asian mirror & Akasa Suthra,Media company,https://www.facebook.com/photo/?fbid=1464555605673979&set=pb.100063586600314.-2207520000,,Yes,,,Nugegoda,
CareStationLK,Non-profit,https://www.instagram.com/p/DRsNR6hCJTJ/,Yes,Yes,,,"Gampola, Kandy, Colombo",https://carestationsl.org/
Voice foundation SL,Non-profit,https://www.instagram.com/p/DRm4WJvCOD3/,Yes,Yes,,,Rajagiriya,https://vforv.org/#about-us
Lure foundation,Non-profit,https://www.instagram.com/p/DRkwAvnDRDq/,,,,,,
Palmera,Non-profit,https://palmera.org/cyclone25/,Yes,,,Yes,,https://palmera.org/about/
